COD_ACTE,DT_MODIF,NOM_LONG
AAQN004,2025-10-17,Remnographie [IRM] fonctionnelle du cerveau pour ‚tude des fonctions motrices
ACQH001,2025-10-17,"Scanographie du crƒne et de son contenu, avec injection intrath‚cale de produit de contraste [Cysternoscanner]"
ACQH002,2025-10-17,"Scanographie du crƒne, de son contenu et du thorax, avec injection intraveineuse de produit de contraste"
ACQH003,2025-10-17,"Scanographie du crƒne et de son contenu, avec injection intraveineuse de produit de contraste"
ACQH004,2025-10-17,"Scanographie du crƒne, de son contenu et du tronc, avec injection intraveineuse de produit de contraste"
ACQJ001,2025-10-17,"Remnographie [IRM] du crƒne et de son contenu avec ‚tude de la viabilit‚ du parenchyme c‚r‚bral par imagerie de diffusion et de perfusion, avec remnographie des vaisseaux [angio-IRM] cervicoc‚phaliques"
ACQJ002,2025-10-17,"Remnographie [IRM] du crƒne et de son contenu, avec injection intraveineuse de produit de contraste"
ACQK001,2025-10-17,"Scanographie du crƒne et de son contenu, sans injection de produit de contraste"
ACQK003,2025-10-17,Scanographie du crƒne et de son contenu et/ou du massif facial pour rep‚rage st‚r‚otaxique
ACQN001,2025-10-17,"Remnographie [IRM] du crƒne et de son contenu, sans injection intraveineuse de produit de contraste"
ACQN002,2025-10-17,Remnographie [IRM] du crƒne et de son contenu et/ou du massif facial pour planification dosim‚trique
ACQN003,2025-10-17,Remnographie [IRM] du crƒne et de son contenu pour proc‚dure st‚r‚otaxique
ACQN004,2025-10-17,"Remnographie [IRM] du crƒne et de son contenu, avec ‚tude de la viabilit‚ du parenchyme c‚r‚bral par imagerie de diffusion et de perfusion"
DDQH006,2025-10-17,"Angiographie de pontage coronaire, par voie art‚rielle transcutan‚e"
DDQH009,2025-10-17,"Art‚riographie coronaire sans ventriculographie gauche, par voie art‚rielle transcutan‚e"
DDQH010,2025-10-17,"Art‚riographie coronaire avec ventriculographie gauche et art‚riographie thoracique [mammaire] interne unilat‚rale ou bilat‚rale, par voie art‚rielle transcutan‚e"
DDQH011,2025-10-17,"Art‚riographie coronaire avec angiographie d'un pontage coronaire et ventriculographie gauche, par voie art‚rielle transcutan‚e"
DDQH012,2025-10-17,"Art‚riographie coronaire avec ventriculographie gauche, par voie art‚rielle transcutan‚e"
DDQH013,2025-10-17,"Art‚riographie coronaire avec angiographie de plusieurs pontages coronaires sans ventriculographie gauche, par voie art‚rielle transcutan‚e"
DDQH014,2025-10-17,"Art‚riographie coronaire avec angiographie d'un pontage coronaire sans ventriculographie gauche, par voie art‚rielle transcutan‚e"
DDQH015,2025-10-17,"Art‚riographie coronaire avec angiographie de plusieurs pontages coronaires et ventriculographie gauche, par voie art‚rielle transcutan‚e"
DGQM001,2025-10-17,"chographie-doppler de l'aorte abdominale, de ses branches visc‚rales, des artŠres iliaques et des artŠres des membres inf‚rieurs"
DZQM002,2025-10-17,chocardiographie transthoracique continue avec ‚preuve de stress sur lit ergom‚trique
DZQM005,2025-10-17,"chographie-doppler transthoracique du coeur et des vaisseaux intrathoraciques, au lit du malade"
DZQM006,2025-10-17,chographie-doppler transthoracique du coeur et des vaisseaux intrathoraciques
DZQM008,2025-10-17,"Remnographie [IRM] fonctionnelle du coeur, avec ‚preuve pharmacologique de stress"
DZQN001,2025-10-17,Remnographie [IRM] morphologique du coeur
DZQN002,2025-10-17,"Remnographie [IRM] fonctionnelle du coeur, sans ‚preuve pharmacologique de stress"
EAQH002,2025-10-17,Scanographie des vaisseaux enc‚phaliques [Angioscanner c‚r‚bral]
EAQJ001,2025-10-17,Remnographie des vaisseaux enc‚phaliques [Angio-IRM c‚r‚brale]
EBQH004,2025-10-17,Scanographie des vaisseaux cervicoc‚phaliques [Angioscanner cervicoc‚r‚bral]
EBQH006,2025-10-17,Scanographie des vaisseaux cervicaux [Angioscanner cervical]
EBQJ001,2025-10-17,Remnographie des vaisseaux cervicoc‚phaliques [Angio-IRM cervicoc‚r‚brale]
EBQJ002,2025-10-17,Remnographie des vaisseaux cervicaux [Angio-IRM cervicale]
EBQM001,2025-10-17,"chographie-doppler des artŠres cervicoc‚phaliques extracrƒniennes, sans mesure de l'‚paisseur de l'intima-m‚dia"
EBQM002,2025-10-17,"chographie-doppler des artŠres cervicoc‚phaliques extracrƒniennes, avec ‚chographie-doppler des artŠres des membres inf‚rieurs"
ECQH010,2025-10-17,Scanographie des vaisseaux du thorax et/ou du coeur [Angioscanner thoracique]
ECQH011,2025-10-17,"Scanographie des vaisseaux du thorax et/ou du coeur, avec scanographie des vaisseaux de l'abdomen et/ou du petit bassin [Angioscanner thoracique avec angioscanner de l'abdomen et/ou du pelvis]"
ECQJ001,2025-10-17,Remnographie des vaisseaux du thorax [Angio-IRM thoracique]
EDQM001,2025-10-17,chographie-doppler des artŠres iliaques et des artŠres des membres inf‚rieurs
EJQM003,2025-10-17,"chographie-doppler des veines des membres inf‚rieurs et des veines iliaques, pour recherche de thrombose veineuse profonde"
EJQM004,2025-10-17,"chographie-doppler des veines des membres inf‚rieurs et des veines iliaques, sans marquage cutan‚"
EKQH001,2025-10-17,Scanographie des vaisseaux des membres sup‚rieurs [Angioscanner des membres sup‚rieurs]
EKQJ001,2025-10-17,Remnographie des vaisseaux des membres sup‚rieurs [Angio-IRM des membres sup‚rieurs]
ELQH001,2025-10-17,Scanographie des vaisseaux du foie pour ‚tude de la vascularisation … au moins 3 temps diff‚rents
ELQH002,2025-10-17,Scanographie des vaisseaux de l'abdomen et/ou du petit bassin [Angioscanner abdominopelvien]
ELQJ001,2025-10-17,Remnographie des vaisseaux de l'abdomen et/ou du petit bassin [Angio-IRM abdominopelvien]
ELQJ003,2025-10-17,"Remnographie des vaisseaux [Angio-IRM] de l'abdomen et/ou du petit bassin, avec remnographie des vaisseaux [angio-IRM] des membres"
EMQH001,2025-10-17,Scanographie des vaisseaux des membres inf‚rieurs [Angioscanner des membres inf‚rieurs]
EMQJ001,2025-10-17,Remnographie des vaisseaux des membres inf‚rieurs [Angio-IRM des membres inf‚rieurs]
HHQH365,2025-10-17,"Scanographie du c“lon avec insufflation [coloscopie virtuelle], et injection intraveineuse de produit de contraste"
HHQK484,2025-10-17,"Scanographie du c“lon avec insufflation [coloscopie virtuelle], sans injection intraveineuse de produit de contraste"
LAQJ001,2025-10-17,"Remnographie [IRM] de la face, avec injection intraveineuse de produit de contraste"
LAQK002,2025-10-17,Scanographie unilat‚rale ou bilat‚rale de la partie p‚treuse de l'os temporal [rocher] et de l'oreille moyenne
LAQK005,2025-10-17,Radiographie du crƒne selon 3 incidences ou plus
LAQK009,2025-10-17,Scanographie de la face avec scanographie des tissus mous du cou
LAQK011,2025-10-17,Scanographie unilat‚rale ou bilat‚rale de l'angle pontoc‚r‚belleux et/ou du m‚at acoustique interne [conduit auditif interne]
LAQK013,2025-10-17,Scanographie de la face
LAQN001,2025-10-17,"Remnographie [IRM] de la face, sans injection intraveineuse de produit de contraste"
LBQH002,2025-10-17,Arthroscanographie unilat‚rale ou bilat‚rale de l'articulation temporomandibulaire
LCQH001,2025-10-17,"Scanographie des tissus mous du cou, avec injection intraveineuse de produit de contraste"
LCQJ001,2025-10-17,"Remnographie [IRM] des tissus mous du cou, avec injection intraveineuse de produit de contraste"
LCQK001,2025-10-17,"Scanographie des tissus mous du cou, sans injection intraveineuse de produit de contraste"
LCQN001,2025-10-17,"Remnographie [IRM] des tissus mous du cou, sans injection intraveineuse de produit de contraste"
LHQH002,2025-10-17,"Scanographie de plusieurs segments de la colonne vert‚brale, avec injection intraveineuse de produit de contraste"
LHQH006,2025-10-17,"Scanographie d'un segment de la colonne vert‚brale, avec injection intraveineuse de produit de contraste"
LHQJ001,2025-10-17,"Remnographie [IRM] d'un ou de deux segments de la colonne vert‚brale et de son contenu, avec injection intraveineuse de produit de contraste"
LHQJ002,2025-10-17,"Remnographie [IRM] de 3 segments de la colonne vert‚brale ou plus et de son contenu, avec injection intraveineuse de produit de contraste"
LHQK001,2025-10-17,"Scanographie d'un segment de la colonne vert‚brale, sans injection intraveineuse de produit de contraste"
LHQK005,2025-10-17,"Scanographie de plusieurs segments de la colonne vert‚brale, sans injection intraveineuse de produit de contraste"
LHQN001,2025-10-17,"Remnographie [IRM] d'un ou de deux segments de la colonne vert‚brale et de son contenu, sans injection intraveineuse de produit de contraste"
LHQN002,2025-10-17,"Remnographie [IRM] de 3 segments de la colonne vert‚brale ou plus et de son contenu, sans injection intraveineuse de produit de contraste"
MZQH001,2025-10-17,Arthrographie du membre sup‚rieur avec scanographie [Arthroscanner du membre sup‚rieur]
MZQH002,2025-10-17,"Scanographie unilat‚rale ou bilat‚rale de segment du membre sup‚rieur, avec injection de produit de contraste"
MZQJ001,2025-10-17,"Remnographie [IRM] unilat‚rale ou bilat‚rale de segment du membre sup‚rieur, avec injection de produit de contraste"
MZQK002,2025-10-17,"Scanographie unilat‚rale ou bilat‚rale de segment du membre sup‚rieur, sans injection de produit de contraste"
MZQN001,2025-10-17,"Remnographie [IRM] unilat‚rale ou bilat‚rale de segment du membre sup‚rieur, sans injection de produit de contraste"
NZQH001,2025-10-17,"Scanographie unilat‚rale ou bilat‚rale de segment du membre inf‚rieur, avec injection de produit de contraste"
NZQH002,2025-10-17,Arthrographie du membre inf‚rieur avec scanographie [Arthroscanner du membre inf‚rieur]
NZQH005,2025-10-17,Scanographie de la hanche et du membre inf‚rieur pour conception int‚gr‚e par ordinateur d'une prothŠse ost‚oarticulaire sur mesure
NZQJ001,2025-10-17,"Remnographie [IRM] unilat‚rale ou bilat‚rale de segment du membre inf‚rieur, avec injection de produit de contraste"
NZQK002,2025-10-17,"Scanographie unilat‚rale ou bilat‚rale de segment du membre inf‚rieur, sans injection de produit de contraste"
NZQK004,2025-10-17,T‚l‚m‚trie des membres inf‚rieurs par scanographie
NZQN001,2025-10-17,"Remnographie [IRM] unilat‚rale ou bilat‚rale de segment du membre inf‚rieur, sans injection de produit de contraste"
PDQK001,2025-10-17,"Quantification des diff‚rents composants des tissus mous, par scanographie"
PDQN001,2025-10-17,"Quantification des diff‚rents composants des tissus mous, par remnographie"
QEQH002,2025-10-17,"Scanographie du sein, avec injection intraveineuse de produit de contraste"
QEQH204,2025-10-17,Angiomammographie spectrale unilat‚rale ou bilat‚rale
QEQJ001,2025-10-17,"Remnographie [IRM] du sein, avec injection intraveineuse de produit de contraste"
QEQK001,2025-10-17,Mammographie bilat‚rale
QEQK004,2025-10-17,Mammographie de d‚pistage
QEQK005,2025-10-17,Mammographie unilat‚rale
QEQK006,2025-10-17,"Scanographie du sein, sans injection intraveineuse de produit de contraste"
QEQN001,2025-10-17,"Remnographie [IRM] du sein, sans injection intraveineuse de produit de contraste"
YYYY034,2025-10-17,"Imagerie pour acte de radiologie interventionnelle ou de cardiologie interventionnelle niveau 14, r‚alis‚e en salle d'imagerie"
YYYY105,2025-10-17,"Imagerie pour acte de radiologie interventionnelle ou de cardiologie interventionnelle niveau 1, r‚alis‚e en salle d'imagerie"
YYYY110,2025-10-17,"Imagerie pour acte de radiologie interventionnelle ou de cardiologie interventionnelle niveau 2, r‚alis‚e en salle d'imagerie"
YYYY120,2025-10-17,"Imagerie pour acte de radiologie interventionnelle ou de cardiologie interventionnelle niveau 3, r‚alis‚e en salle d'imagerie"
YYYY130,2025-10-17,"Imagerie pour acte de radiologie interventionnelle ou de cardiologie interventionnelle niveau 9, r‚alis‚e en salle d'imagerie"
YYYY140,2025-10-17,"Imagerie pour acte de radiologie interventionnelle ou de cardiologie interventionnelle niveau 4, r‚alis‚e en salle d'imagerie"
DEGA210,2025-08-08,"Ablation d'une sonde d‚finitive r‚trosternale de d‚fibrillation cardiaque, par abord infraxipho‹dien"
DEGA002,2025-08-08,"Ablation d'‚lectrode ‚picardique d‚finitive, par thoracotomie"
FELF011,2025-07-17,Transfusion de concentr‚ de globules rouges d'un volume inf‚rieur … une demimasse sanguine
GELE001,2025-07-17,"Intubation trach‚ale par fibroscopie ou dispositif laryng‚ particulier, au cours d'une anesth‚sie g‚n‚rale"
GELE004,2025-07-17,"Intubation trach‚ale, par fibroscopie ou dispositif laryng‚ particulier"
GGJB001,2025-07-17,"Drainage d'un ‚panchement de la cavit‚ pleurale, par voie transcutan‚e sans guidage"
GGJB005,2025-07-17,"Pose de plusieurs drains thoraciques pour irrigation-lavage pleurale, par voie transcutan‚e"
GGJB006,2025-07-17,S‚ance d'irrigation-lavage pleurale
GGJB007,2025-07-17,"S‚ance de lavage pleural, par un dispositif implant‚"
GGLB006,2025-07-17,"Pose d'un drain thoracique pour lavage pleural, par voie transcutan‚e"
GLHF001,2025-07-17,"Pr‚lŠvement de sang art‚riel avec gazom‚trie sanguine et mesure du pH, sans ‚preuve d'hyperoxie"
GLHF002,2025-07-17,"Pr‚lŠvement de sang art‚riel avec gazom‚trie sanguine et mesure du pH, avec ‚preuve d'hyperoxie"
GLMF001,2025-07-17,"Adaptation des r‚glages d'une ventilation non effractive par mesures r‚p‚t‚es des gaz du sang, par 24 heures"
GLMP001,2025-07-17,"Adaptation d'une pression positive continue [PPC] ventilatoire par systŠme de pression autoadaptable avec enregistrement de la pression au masque, par 24 heures"
GLQF001,2025-07-17,"R‚glage du d‚bit d'oxygŠne par mesures r‚p‚t‚es des gaz du sang, pour instauration ou adaptation d'une oxyg‚noth‚rapie de d‚bit d‚fini, par 24 heures"
GLQP001,2025-07-17,"R‚glage du d‚bit d'oxygŠne par surveillance transcutan‚e de la saturation en oxygŠne, pour instauration ou adaptation d'une oxyg‚noth‚rapie de d‚bit d‚fini chez l'enfant, par 24 heures"
HLQM702,2025-07-17,Echographie transcutan‚e du foie avec injection intraveineuse de produit de contraste
HPHB003,2025-07-17,"Ponction d'un ‚panchement p‚riton‚al, par voie transcutan‚e"
HPJB001,2025-07-17,"vacuation d'un ‚panchement intrap‚riton‚al, par voie transcutan‚e"
JDFE003,2025-07-17,"R‚section du col de la vessie, par endoscopie"
JDJD001,2025-07-17,vacuation de la vessie par cath‚t‚risme transitoire [Sondage v‚sical ‚vacuateur]
JDLD001,2025-07-17,Pose d'une sonde ur‚trov‚sicale [Sondage v‚sical … demeure]
JDLF001,2025-07-17,"Pose d'un cath‚ter intrav‚sical, par voie transcutan‚e suprapubienne"
JGFA014,2025-07-17,"R‚section palliative de la prostate [Recalibrage de l'urŠtre], par ur‚trocystoscopie"
JGFE023,2025-07-17,"R‚section d'une hypertrophie de la prostate sans laser, par ur‚trocystoscopie"
JGFE365,2025-07-17,"R‚section d'une hypertrophie de la prostate avec laser, par ur‚trocystoscopie"
JGFE631,2025-07-17,"R‚section d'une hypertrophie b‚nigne de la prostate par jet d'eau puls‚, avec programmation ‚chographique robotis‚e avec guidage par ur‚trocystoscopie"
JGHB159,2025-07-17,"Biopsie cibl‚e d'une ou plusieurs l‚sions de la prostate, par voie transp‚rin‚ale, avec guidage ‚chographique et fusion num‚rique avec contourage d'une image par r‚sonnance magn‚tique"
JGHB283,2025-07-17,"Biopsie cibl‚e d'une ou plusieurs l‚sions de la prostate, par voie transrectale, avec guidage ‚chographique et comparaison avec une image par r‚sonnance magn‚tique [fusion cognitive]"
JGHB300,2025-07-17,"Biopsie cibl‚e d'une ou plusieurs l‚sions de la prostate, par voie transrectale, avec guidage ‚chographique et fusion num‚rique avec contourage d'une image par r‚sonnance magn‚tique"
JGHB345,2025-07-17,"Biopsie cibl‚e d'une ou plusieurs l‚sions de la prostate, par voie transp‚rin‚ale, avec guidage ‚chographique et comparaison avec une image par r‚sonnance magn‚tique [fusion cognitive]"
JGND002,2025-07-17,Cryoth‚rapie de la prostate
JGND858,2025-07-17,"Destruction de l‚sion de la prostate par ultrasons focalis‚s de haute intensit‚ [HIFU], par voie transrectale avec guidage ‚chographique"
JGNE171,2025-07-17,"Destruction d une hypertrophie de la prostate par laser [photovaporisation], par ur‚trocystoscopie"
JKGD003,2025-07-17,Curetage de la cavit‚ de l'ut‚rus … vis‚e diagnostique
JKHA001,2025-07-17,"Biopsie ou frottis de l'endomŠtre, sans hyst‚roscopie"
JKHA002,2025-07-17,Biopsie du col de l'ut‚rus
JKHD001,2025-07-17,Pr‚lŠvement cervicovaginal
JLHA001,2025-07-17,Biopsie du vagin
JMHA001,2025-07-17,Biopsie de la vulve
LFDA004,2025-07-17,"ArthrodŠse intercorpor‚ale de la colonne vert‚brale lombale ou lombosacrale avec arthrodŠse post‚rolat‚rale, par abord post‚rieur"
LFDA012,2025-07-17,"ArthrodŠse intercorpor‚ale ou ‚piphysiodŠse de la colonne vert‚brale lombale ou lombosacrale, par abord post‚rieur"
LGCA001,2025-07-17,"Ost‚osynthŠse de fracture du sacrum, par abord post‚rieur"
PDNB120,2025-07-17,"S‚ance de destruction d'une ou plusieurs tumeurs desmo‹des par cryoth‚rapie, par voie transcutan‚e avec guidage scanographique"
PDNB429,2025-07-17,"S‚ance de destruction d'une ou plusieurs tumeurs desmo‹des par cryoth‚rapie, par voie transcutan‚e avec guidage remnographique"
YYYY015,2025-07-17,Forfait de r‚animation niveau A
YYYY020,2025-07-17,Forfait de r‚animation niveau B
YYYY041,2025-07-17,Suppl‚ment pour r‚cup‚ration perop‚ratoire de sang
YYYY058,2025-07-17,Suppl‚ment  pour r‚alisation de gaz du sang au cours d'exploration fonctionnelle respiratoire niveau 1
YYYY186,2025-07-17,Suppl‚ment  pour r‚alisation de gaz du sang au cours d'exploration fonctionnelle respiratoire niveau 2
YYYY232,2025-07-17,Suppl‚ment  pour r‚alisation de gaz du sang au cours d'exploration fonctionnelle respiratoire niveau 3
ZZLP025,2025-07-17,Anesth‚sie g‚n‚rale ou locor‚gionale compl‚mentaire niveau 1
ZZQX042,2025-07-17,Test de d‚tection des mutations g‚n‚tiques de tumeur maligne de l'appareil respiratoire pour th‚rapie cibl‚e [Test compagnon]
ZZQX231,2025-07-17,Test de d‚termination du statut de d‚ficience de la voie de recombinaison homologue [DRH] [HRD] pour th‚rapie cibl‚e [Test compagnon]
ZZQX484,2025-07-17,Test de d‚tection des mutations g‚n‚tiques de tumeur maligne du c“lon et/ou du rectum pour th‚rapie cibl‚e [Test compagnon]
ZZQX784,2025-07-17,Test de d‚tection des mutations g‚n‚tiques de tumeur maligne de la peau pour th‚rapie cibl‚e [Test compagnon]
AANB741,2025-07-17,Destruction d'une ou de plusieurs cible(s) intrac‚r‚brale(s) … vis‚e fonctionnelle par thermoth‚rapie interstitielle au laser [LITT] par voie st‚r‚otaxique avec monitorage remnographique [IRM]
AAQP003,2025-07-17,"Surveillance ‚lectroenc‚phalographique continue sans enregistrement vid‚o, par 24 heures"
AHFA012,2025-07-17,"Ex‚rŠse de lipome de la queue de cheval avec fermeture de m‚ningocŠle ou de my‚lom‚ningocŠle, par abord post‚rieur"
BGBA001,2025-07-17,"Tamponnement interne du segment post‚rieur de l'oeil par fossette colobomateuse ou par trou maculaire, pour d‚collement de r‚tine"
BGDA001,2025-07-17,"R‚tinopexie par coagulation par cryoapplication ou avec laser extraoculaire avec indentation scl‚rale sur plus d'un quadrant, avec tamponnement interne par gaz"
BGDA002,2025-07-17,"R‚tinopexie par coagulation par cryoapplication ou avec laser extraoculaire avec indentation scl‚rale sur plus d'un quadrant, sans tamponnement"
BGDA003,2025-07-17,"R‚tinopexie par coagulation par cryoapplication ou avec laser extraoculaire avec indentation scl‚rale limit‚e … un quadrant, avec tamponnement interne par gaz"
BGDA004,2025-07-17,"R‚tinopexie par coagulation par cryoapplication ou avec laser extraoculaire avec indentation scl‚rale limit‚e … un quadrant, sans tamponnement"
BGDA005,2025-07-17,"R‚tinopexie par coagulation par cryoapplication ou avec laser extraoculaire avec indentation scl‚rale sur 360ø [cerclage], sans tamponnement"
BGDA006,2025-07-17,"R‚tinopexie par coagulation par cryoapplication ou avec laser extraoculaire avec indentation scl‚rale sur 360ø [cerclage], avec tamponnement interne par gaz"
BGDA007,2025-07-17,Indentation transscl‚rale par ballonnet
BGDA008,2025-07-17,"R‚tinopexie par coagulation par cryoapplication ou avec laser extraoculaire sans indentation, avec tamponnement interne par gaz"
BGMA003,2025-07-17,Modification d'indentation scl‚rale pour d‚collement de r‚tine persistant
BGNA001,2025-07-17,"Destruction de l‚sion chorior‚tinienne par agent physique, par scl‚rotomie"
BGNP001,2025-07-17,"S‚ance de photocoagulation chorior‚tinienne du p“le post‚rieur, avec laser monochromatique ou laser … colorants"
BGNP002,2025-07-17,S‚ance de destruction de l‚sion chorior‚tinienne par cryoapplication transscl‚rale
BGNP003,2025-07-17,"S‚ance de destruction de l‚sion chorior‚tinienne par photocoagulation avec laser, … l'aide de verre de contact"
BGNP004,2025-07-17,S‚ance de destruction de l‚sion chorior‚tinienne par photocoagulation transpupillaire avec laser
BGNP006,2025-07-17,Destruction de l‚sion chorior‚tinienne par photocoagulation transscl‚rale
BGNP007,2025-07-17,"S‚ance de destruction de l‚sion chorior‚tinienne par photocoagulation avec laser, … l'aide d'ophtalmoscope indirect"
BGNP008,2025-07-17,"S‚ance de photocoagulation chorior‚tinienne du p“le post‚rieur, avec laser … argon ou diode"
BGQP007,2025-07-17,"R‚tinographie en couleur ou en lumiŠre monochromatique, sans injection [Photographie du segment post‚rieur de l'oeil, sans injection]"
BGRF001,2025-07-17,S‚ance de phototh‚rapie dynamique de la r‚gion maculaire avec injection de produit photosensibilisant
BHQP002,2025-07-17,Gonioscopie oculaire
BZQP003,2025-07-17,Biomicroscopie de l'oeil aux ultrasons
CDMP014,2025-07-17,S‚ance d'adaptation et de t‚l‚r‚glage secondaires d'implant auditif … ‚lectrodes intracochl‚aire
DCJB001,2025-07-17,"Drainage d'une collection du p‚ricarde, par voie transcutan‚e"
DCJB002,2025-07-17,"vacuation d'une collection du p‚ricarde, par voie transcutan‚e"
DELA169,2025-07-17,"Implantation souscutan‚e d'un d‚fibrillateur cardiaque avec pose d'une sonde r‚trosternale, par abord infraxipho‹dien"
DEQP003,2025-07-17,lectrocardiographie sur au moins 12 d‚rivations
DERP004,2025-07-17,"Choc ‚lectrique cardiaque transcutan‚ [Cardioversion externe], en urgence"
DERP005,2025-07-17,Stimulation cardiaque temporaire transcutan‚e
DHQM001,2025-07-17,chographie-doppler transthoracique de la veine cave sup‚rieure et de ses affluents chez l'enfant
DHQM002,2025-07-17,chographie-doppler de la veine cave inf‚rieure et de ses affluents
EBQF001,2025-07-17,"Angiographie du segment post‚rieur de l'oeil, par injection intraveineuse transcutan‚e de fluoresc‚ine, avec examen … l'ophtalmoscope … balayage laser"
EBQF002,2025-07-17,"Angiographie du segment post‚rieur de l'oeil, par injection intraveineuse transcutan‚e de fluoresc‚ine, avec superposition d'images"
EBQF004,2025-07-17,"Angiographie du segment post‚rieur de l'oeil, par injection intraveineuse transcutan‚e de fluoresc‚ine"
EBQF005,2025-07-17,"Angiographie du segment post‚rieur de l'oeil, par injection intraveineuse transcutan‚e de vert d'indocyanine"
EBQF006,2025-07-17,"Angiographie du segment post‚rieur de l'oeil, par injection intraveineuse transcutan‚e de vert d'indocyanine, avec examen … l'ophtalmoscope … balayage laser"
EFQM001,2025-07-17,chographie-doppler des veines des membres sup‚rieurs
EHBD001,2025-07-17,Tamponnement de varices oesogastriques par sonde … ballonnet
EJSF400,2025-07-17,Occlusion de la petite veine saphŠne par radiofr‚quence par voie veineuse transcutan‚e avec guidage ‚chographique
EPLF002,2025-07-17,"Pose d'un cath‚ter veineux central, par voie transcutan‚e"
